model_id,brand_id,brand_name,brand_category,model_name,series,year,energy_type,body_type,guide_price_min,guide_price_max,avg_price,horsepower,torque,fuel_consumption,range_km,length,width,height,wheelbase,overall_score,value_score,total_sales
33,10,广汽丰田,合资,锋兰达,锋兰达,2024.0,燃油,SUV,9.38,13.38,11.38,195.0,352.0,9.1,,4543.0,1879.0,1530.0,2713.0,4.1,4.2,0
34,25,方程豹,新势力,钛7 EV,钛7 EV,2024.0,纯电动,SUV,19.98,23.98,21.98,384.0,316.0,,552.0,4776.0,1921.0,1539.0,3043.0,4.8,5.2,0
35,16,上汽大众,合资,帕萨特,帕萨特,2024.0,燃油,轿车,13.95,28.98,21.465,191.0,321.0,7.3,,4701.0,1884.0,1521.0,2706.0,4.7,4.6,0
36,24,比亚迪,自主,元PLUS,元PLUS,2024.0,纯电动,SUV,10.98,14.99,12.985,287.0,490.0,,764.0,5058.0,1896.0,1569.0,2856.0,3.6,3.6,0
37,18,吉利汽车,自主,缤越,缤越,2024.0,燃油,SUV,5.88,8.58,7.23,163.0,296.0,7.8,,4948.0,1847.0,1695.0,2878.0,3.9,4.3,0
38,5,北京奔驰,豪华,奔驰E级,奔驰E级,2024.0,燃油,轿车,30.5,52.3,41.4,240.0,382.0,8.6,,4849.0,1848.0,1684.0,2822.0,3.7,3.6,0
39,10,广汽丰田,合资,铂智3X,铂智3X,2024.0,燃油,SUV,9.48,15.98,12.73,216.0,254.0,6.8,,4604.0,1855.0,1601.0,2720.0,3.6,3.7,0
40,1,奇瑞汽车,自主,智界V9,智界V9,2024.0,纯电动,轿车,38.98,51.98,45.48,212.0,406.0,,588.0,5020.0,1919.0,1512.0,2870.0,3.5,3.6,0
41,24,比亚迪,自主,海狮06EV,海狮06EV,2024.0,纯电动,SUV,13.78,17.99,15.884999999999998,216.0,370.0,,545.0,4954.0,1956.0,1620.0,2873.0,3.7,3.6,0
42,24,比亚迪,自主,海鸥,海鸥,2024.0,纯电动,轿车,6.08,7.99,7.035,358.0,370.0,,789.0,4656.0,1922.0,1585.0,3018.0,4.5,4.5,0
43,10,广汽丰田,合资,威兰达,威兰达,2024.0,燃油,SUV,13.88,19.98,16.93,168.0,367.0,7.5,,4996.0,1865.0,1675.0,2824.0,4.0,4.1,0
44,15,零跑汽车,新势力,零跑B10,零跑B10,2024.0,纯电动,SUV,9.28,12.58,10.93,327.0,483.0,,510.0,5086.0,1977.0,1623.0,2887.0,3.5,3.9,0
45,4,北汽新能源,自主,极狐贝塔T1,极狐贝塔T1,2024.0,纯电动,轿车,5.98,8.48,7.23,324.0,432.0,,716.0,4856.0,1964.0,1635.0,3079.0,4.9,4.8,0
46,1,奇瑞汽车,自主,瑞虎8,瑞虎8,2024.0,燃油,SUV,7.99,11.99,9.99,231.0,189.0,9.5,,4948.0,1888.0,1564.0,2848.0,4.1,4.1,0
47,22,一汽丰田,合资,亚洲龙,亚洲龙,2024.0,燃油,轿车,13.38,20.58,16.98,161.0,381.0,6.2,,4677.0,1839.0,1501.0,2855.0,4.1,4.2,0
48,2,东风本田,合资,本田CR-V,本田CR-V,2024.0,燃油,SUV,13.79,20.99,17.39,154.0,309.0,6.6,,4710.0,1837.0,1558.0,2819.0,3.8,3.9,0
49,8,北京汽车,自主,北京越野BJ30,北京越野BJ30,2024.0,燃油,SUV,6.99,10.99,8.99,240.0,151.0,7.0,,4822.0,1925.0,1495.0,2850.0,4.2,4.4,0
50,24,比亚迪,自主,海狮05EV,海狮05EV,2024.0,纯电动,SUV,11.18,14.59,12.885,278.0,481.0,,631.0,4903.0,1881.0,1601.0,2902.0,4.7,4.6,0
51,1,奇瑞汽车,自主,问界M7,,,燃油,,27.98,38.98,33.48,,,,,,,,,,,0
52,1,奇瑞汽车,自主,轩逸,,,燃油,,6.19,14.19,10.19,,,,,,,,,,,0
53,1,奇瑞汽车,自主,长安CS75 PLUS,,,燃油,,9.19,13.59,11.39,,,,,,,,,,,0
54,1,奇瑞汽车,自主,Model 3,,,燃油,,23.55,33.95,28.75,,,,,,,,,,,0
55,1,奇瑞汽车,自主,问界M6,,,燃油,,22.98,29.98,26.48,,,,,,,,,,,0
